,action_name,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
0,ApplyEyeMakeup,makeup,eyeliner,eyeshadow,mascara,lipstick,beauty salon,drugstore,ice cream parlor,candy store,clothing store
1,ApplyLipstick,lipstick,eyeliner,mascara,eyeshadow,lip-gloss,drugstore,ice cream parlor,beauty salon,clothing store,wet bar
2,Archery,archery,archer,crossbow,longbow,rifle,hunting lodge outdoor,bow window indoor,volleyball court outdoor,athletic field outdoor,martial arts gym
3,BabyCrawling,baby,baby,crib,crib,bassinet,nursery,childs room,shower,playroom,hospital room
4,BalanceBeam,balance,balance,beam,light,steelyard,rope bridge,bank vault,bridge,elevator shaft,bow window indoor
5,BandMarching,band,band,drummer,guitarist,bandsman,music studio,rock arch,orchestra pit,army base,stadium football
6,BaseballPitch,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
7,Basketball,basketball,basketball,volleyball,volleyball,soccer,basketball court indoor,volleyball court outdoor,stadium soccer,stadium football,soccer field
8,BasketballDunk,basketball,basketball,dunker,backboard,backboard,basketball court indoor,volleyball court outdoor,arena hockey,athletic field outdoor,soccer field
9,BenchPress,bench,press,press,press,dumbbell,conference center,conference room,ball pit,locker room,volleyball court outdoor
10,Biking,bicycling,cycling,bicycle,motorcycling,skiing,mountain,mountain path,mountain snowy,swimming pool outdoor,ice skating rink outdoor
11,Billiards,shuffleboard,racquetball,racquetball,poolroom,croquet,arcade,amusement arcade,swimming pool indoor,swimming pool outdoor,recreation room
12,BlowDryHair,dry,hair,dryer,wig,skin,wet bar,hot spring,shower,beauty salon,desert sand
13,BlowingCandles,candle,shofar,torch,wick,snuffer,wind farm,fire escape,shower,bow window indoor,fire station
14,BodyWeightSquats,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
15,Bowling,cricket,cricket,croquet,wicket,wicket,bowling alley,ball pit,ice skating rink indoor,ice skating rink outdoor,swimming hole
16,BoxingPunchingBag,boxing,boxer,boxer,punch,punch,boxing ring,martial arts gym,stadium baseball,arena hockey,swimming hole
17,BoxingSpeedBag,boxing,bag,bag,bag,duffel,boxing ring,martial arts gym,bowling alley,ball pit,shoe shop
18,BreastStroke,nipple,chest,surgery,heart,neck,swimming hole,hospital,nursing home,elevator shaft,canal natural
19,BrushingTeeth,tooth,tooth,brush,toothbrush,floss,clean room,bathroom,watering hole,canal natural,childs room
20,CleanAndJerk,cleaner,well,well,well,mess,clean room,wet bar,engine room,underwater ocean deep,lake natural
21,CliffDiving,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
22,CricketBowling,cricket,cricket,cricketer,wicket,wicket,bowling alley,stadium baseball,football field,baseball field,stadium soccer
23,CricketShot,cricket,cricket,cricketer,wicket,wicket,bowling alley,football field,ball pit,baseball field,soccer field
24,CuttingInKitchen,kitchen,bathroom,room,cupboard,edge,kitchen,restaurant kitchen,living room,dining room,clean room
