,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
100,YoYo,0.0,gat,homegirl,dun,homeboy,takin,childs room,japanese garden,rice paddy,sushi bar,kindergarden classroom
34,HammerThrow,0.0,hammer,hammer,hammer,monkey-wrench,wrench,ball pit,lock chamber,rope bridge,rock arch,fire escape
43,IceDancing,0.0,ice,skating,dancer,dancer,rink,ice skating rink outdoor,ice skating rink indoor,ice floe,ice cream parlor,ice shelf
31,FrontCrawl,0.0,front,back,back,back,down,elevator door,porch,doorway outdoor,ball pit,engine room
30,FrisbeeCatch,0.0,catch,Frisbee,ball,ball,ball,ball pit,volleyball court outdoor,soccer field,baseball field,fire escape
46,JumpRope,0.0,rope,jumping,bungee,parachute,ledge,rope bridge,cliff,ball pit,raft,bow window indoor
47,JumpingJack,0.0,jumping,jack,jack,jack,jack,rope bridge,swimming hole,ball pit,cliff,landing deck
51,Lunges,0.0,dumbbell,barbell,cartwheel,leg,leg,ball pit,elevator door,rope bridge,martial arts gym,bowling alley
56,ParallelBars,0.0,parallel,bar,bar,bar,strip,bar,sushi bar,wet bar,street,rope bridge
57,PizzaTossing,0.0,pizza,pasta,lasagna,meatball,flatbread,pizzeria,fastfood restaurant,sushi bar,restaurant kitchen,ice cream parlor
23,CricketShot,0.0,cricket,cricket,cricketer,wicket,wicket,bowling alley,football field,ball pit,baseball field,soccer field
59,PlayingDaf,0.0,piano,violin,clarinet,lute,bongo,soccer field,orchestra pit,football field,music studio,synagogue outdoor
60,PlayingDhol,0.0,violin,flute,bagpipe,tambourine,harmonium,music studio,arena hockey,football field,soccer field,orchestra pit
20,CleanAndJerk,0.0,cleaner,well,well,well,mess,clean room,wet bar,engine room,underwater ocean deep,lake natural
68,PommelHorse,0.0,horse,horse,horseman,dressage,equine,barn,arena rodeo,corral,pasture,racecourse
17,BoxingSpeedBag,0.0,boxing,bag,bag,bag,duffel,boxing ring,martial arts gym,bowling alley,ball pit,shoe shop
18,BreastStroke,0.0,nipple,chest,surgery,heart,neck,swimming hole,hospital,nursing home,elevator shaft,canal natural
15,Bowling,0.0,cricket,cricket,croquet,wicket,wicket,bowling alley,ball pit,ice skating rink indoor,ice skating rink outdoor,swimming hole
98,WallPushups,0.0,wall,wall,sandbag,dumbbell,ledge,rock arch,rope bridge,alcove,doorway outdoor,martial arts gym
95,UnevenBars,0.0,bar,bar,bar,rough,brittle,wet bar,bar,sushi bar,ice skating rink indoor,ice skating rink outdoor
92,ThrowDiscus,0.0,javelin,thrower,monkey-wrench,hammer,hammer,ball pit,athletic field outdoor,baseball field,bow window indoor,wheat field
4,BalanceBeam,0.0,balance,balance,beam,light,steelyard,rope bridge,bank vault,bridge,elevator shaft,bow window indoor
90,TaiChi,0.0,guan,gong,,tam,koto,zen garden,martial arts gym,japanese garden,pagoda,temple asia
89,TableTennisShot,0.0,tennis,table,table,volleyball,volleyball,volleyball court outdoor,basketball court indoor,bow window indoor,ball pit,swimming pool outdoor
69,PullUps,0.0,pull,hook,hook,hook,hook,ball pit,rope bridge,lock chamber,assembly line,clean room
85,StillRings,0.0,still,ring,ring,remains,bell,boxing ring,jewelry shop,rope bridge,waiting room,phone booth
9,BenchPress,0.0,bench,press,press,press,dumbbell,conference center,conference room,ball pit,locker room,volleyball court outdoor
81,Skijet,0.0,jet,skiing,snowboard,skier,snowmobile,ski resort,ski slope,airplane cabin,chalet,hunting lodge outdoor
76,SalsaSpin,0.0,salsa,guacamole,tostada,enchilada,hummus,ball pit,bowling alley,ballroom,ice cream parlor,sushi bar
73,RockClimbingIndoor,0.0,rock,rock,climber,crag,mountain,rock arch,mountain,cliff,crevasse,canyon
71,PushUps,0.0,pull,tamp,button,ratchet,down,assembly line,lock chamber,ball pit,wave,elevator door
70,Punch,0.0,punch,punch,haymaker,pack,pack,boxing ring,watering hole,ice cream parlor,ice shelf,ball pit
82,SkyDiving,0.0,dive,swimming,dove,blue,blue,sky,underwater ocean deep,swimming hole,ocean,water tower
28,FieldHockeyPenalty,0.007936507936507936,field,field,soccer,lacrosse,football,soccer field,football field,baseball field,arena hockey,field road
39,HighJump,0.008130081300813009,jumping,level,jumper,jumper,spike,rope bridge,bow window indoor,escalator indoor,cliff,underwater ocean deep
44,JavelinThrow,0.008547008547008548,javelin,thrower,grenade,monkey-wrench,dart,ball pit,baseball field,athletic field outdoor,bow window indoor,football field
35,Hammering,0.014285714285714285,hammer,hammer,hammer,bludgeon,chisel,watering hole,lock chamber,swimming hole,elevator door,ball pit
50,LongJump,0.015267175572519083,jumping,down,walk,hurdle,rope,rope bridge,waiting room,underwater ocean deep,cliff,hot spring
1,ApplyLipstick,0.017543859649122806,lipstick,eyeliner,mascara,eyeshadow,lip-gloss,drugstore,ice cream parlor,beauty salon,clothing store,wet bar
24,CuttingInKitchen,0.01818181818181818,kitchen,bathroom,room,cupboard,edge,kitchen,restaurant kitchen,living room,dining room,clean room
83,SoccerJuggling,0.02040816326530612,soccer,football,juggler,volleyball,volleyball,stadium soccer,soccer field,football field,stadium football,basketball court indoor
55,Nunchucks,0.022727272727272728,saber,sword,broadsword,machete,quarterstaff,martial arts gym,bowling alley,boxing ring,arcade,rope bridge
12,BlowDryHair,0.022900763358778626,dry,hair,dryer,wig,skin,wet bar,hot spring,shower,beauty salon,desert sand
37,HandstandWalking,0.02702702702702703,walk,cartwheel,walker,walker,walker,escalator indoor,crosswalk,rope bridge,doorway outdoor,swimming hole
45,JugglingBalls,0.05785123966942149,ball,ball,ball,juggler,croquet,ball pit,soccer field,bowling alley,swimming hole,baseball field
38,HeadMassage,0.08163265306122448,head,head,therapist,neck,body,shower,sauna,ice cream parlor,beauty salon,jacuzzi indoor
8,BasketballDunk,0.0916030534351145,basketball,basketball,dunker,backboard,backboard,basketball court indoor,volleyball court outdoor,arena hockey,athletic field outdoor,soccer field
78,Shotput,0.10416666666666667,javelin,thrower,judo,athlete,vaulter,athletic field outdoor,baseball field,basketball court indoor,football field,soccer field
72,Rafting,0.12612612612612611,canoe,kayak,raft,snorkeling,fly-fishing,river,raft,canyon,hunting lodge outdoor,swimming pool outdoor
36,HandstandPushups,0.1484375,dumbbell,cartwheel,barbell,gymnast,hula-hoop,martial arts gym,rope bridge,boxing ring,shower,sushi bar
74,RopeClimbing,0.15966386554621848,rope,climber,ledge,bungee,jumping,rope bridge,crevasse,cliff,rock arch,staircase
54,MoppingFloor,0.17272727272727273,floor,floor,floor,upstairs,linoleum,basement,clean room,throne room,dressing room,kitchen
96,VolleyballSpiking,0.1810344827586207,volleyball,volleyball,soccer,tennis,softball,volleyball court outdoor,soccer field,basketball court indoor,stadium soccer,football field
19,BrushingTeeth,0.1984732824427481,tooth,tooth,brush,toothbrush,floss,clean room,bathroom,watering hole,canal natural,childs room
3,BabyCrawling,0.20454545454545456,baby,baby,crib,crib,bassinet,nursery,childs room,shower,playroom,hospital room
