,action_name,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
0,BabyCrawling,baby,baby,crib,crib,bassinet,nursery,childs room,shower,playroom,hospital room
1,BaseballPitch,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
2,BasketballDunk,basketball,basketball,dunker,backboard,backboard,basketball court indoor,volleyball court outdoor,arena hockey,athletic field outdoor,soccer field
3,BenchPress,bench,press,press,press,dumbbell,conference center,conference room,ball pit,locker room,volleyball court outdoor
4,Billiards,shuffleboard,racquetball,racquetball,poolroom,croquet,arcade,amusement arcade,swimming pool indoor,swimming pool outdoor,recreation room
5,BlowingCandles,candle,shofar,torch,wick,snuffer,wind farm,fire escape,shower,bow window indoor,fire station
6,BodyWeightSquats,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
7,BoxingPunchingBag,boxing,boxer,boxer,punch,punch,boxing ring,martial arts gym,stadium baseball,arena hockey,swimming hole
8,BreastStroke,nipple,chest,surgery,heart,neck,swimming hole,hospital,nursing home,elevator shaft,canal natural
9,CleanAndJerk,cleaner,well,well,well,mess,clean room,wet bar,engine room,underwater ocean deep,lake natural
10,CliffDiving,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
11,CuttingInKitchen,kitchen,bathroom,room,cupboard,edge,kitchen,restaurant kitchen,living room,dining room,clean room
12,Diving,dive,swimming,snorkeling,snorkel,snorkel,underwater ocean deep,swimming hole,swimming pool outdoor,swimming pool indoor,ocean
13,FrisbeeCatch,catch,Frisbee,ball,ball,ball,ball pit,volleyball court outdoor,soccer field,baseball field,fire escape
14,Haircut,hairdresser,hair,beard,beard,stylist,beauty salon,shower,clothing store,laundromat,bathroom
15,HandstandPushups,dumbbell,cartwheel,barbell,gymnast,hula-hoop,martial arts gym,rope bridge,boxing ring,shower,sushi bar
16,HeadMassage,head,head,therapist,neck,body,shower,sauna,ice cream parlor,beauty salon,jacuzzi indoor
17,IceDancing,ice,skating,dancer,dancer,rink,ice skating rink outdoor,ice skating rink indoor,ice floe,ice cream parlor,ice shelf
18,JugglingBalls,ball,ball,ball,juggler,croquet,ball pit,soccer field,bowling alley,swimming hole,baseball field
19,JumpRope,rope,jumping,bungee,parachute,ledge,rope bridge,cliff,ball pit,raft,bow window indoor
20,Kayaking,kayak,snorkeling,water-skiing,canoe,fly-fishing,swimming pool outdoor,river,swimming pool indoor,hunting lodge outdoor,swimming hole
21,Lunges,dumbbell,barbell,cartwheel,leg,leg,ball pit,elevator door,rope bridge,martial arts gym,bowling alley
