,action_name,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
0,ApplyLipstick,lipstick,eyeliner,mascara,eyeshadow,lip-gloss,drugstore,ice cream parlor,beauty salon,clothing store,wet bar
1,Archery,archery,archer,crossbow,longbow,rifle,hunting lodge outdoor,bow window indoor,volleyball court outdoor,athletic field outdoor,martial arts gym
2,BabyCrawling,baby,baby,crib,crib,bassinet,nursery,childs room,shower,playroom,hospital room
3,BalanceBeam,balance,balance,beam,light,steelyard,rope bridge,bank vault,bridge,elevator shaft,bow window indoor
4,BandMarching,band,band,drummer,guitarist,bandsman,music studio,rock arch,orchestra pit,army base,stadium football
5,BaseballPitch,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
6,BodyWeightSquats,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
7,BoxingSpeedBag,boxing,bag,bag,bag,duffel,boxing ring,martial arts gym,bowling alley,ball pit,shoe shop
8,BrushingTeeth,tooth,tooth,brush,toothbrush,floss,clean room,bathroom,watering hole,canal natural,childs room
9,CleanAndJerk,cleaner,well,well,well,mess,clean room,wet bar,engine room,underwater ocean deep,lake natural
10,CliffDiving,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
11,Drumming,drum,drum,drummer,percussionist,bongo,music studio,martial arts gym,art studio,rock arch,orchestra pit
12,GolfSwing,golf,swing,golfer,putter,croquet,golf course,ball pit,swimming hole,volleyball court outdoor,baseball field
13,HammerThrow,hammer,hammer,hammer,monkey-wrench,wrench,ball pit,lock chamber,rope bridge,rock arch,fire escape
14,Hammering,hammer,hammer,hammer,bludgeon,chisel,watering hole,lock chamber,swimming hole,elevator door,ball pit
15,HandstandWalking,walk,cartwheel,walker,walker,walker,escalator indoor,crosswalk,rope bridge,doorway outdoor,swimming hole
16,HeadMassage,head,head,therapist,neck,body,shower,sauna,ice cream parlor,beauty salon,jacuzzi indoor
17,HighJump,jumping,level,jumper,jumper,spike,rope bridge,bow window indoor,escalator indoor,cliff,underwater ocean deep
18,HorseRiding,horse,horse,riding,rider,ride,arena rodeo,barn,pasture,wind farm,corral
19,HulaHoop,hula-hoop,trampoline,gymnastics,tetherball,basketball,basketball court indoor,volleyball court outdoor,ball pit,windmill,rope bridge
